Year,Date,RoundID,Stage,MatchID,Country,City,Stadium,Home_Team_Name,Home_Team_Initials,Half_Time_Home_Goals,Home_Team_Goals,Away_Team_Name,Away_Team_Initials,Half_Time_Away_Goals,Away_Team_Goals,Half_Time_Goals,Goals,Outcome_Of_The_Match,Win_Conditions,Attendance,Referee,Assistant_1,Assistant_2
1998,20-06-1998,1014,Group E,8750,Belgium,Bordeaux ,Stade du Parc Lescure,Belgium,BEL,1,2,Mexico,MEX,0,2,1,4,DRAW, ,31800,DALLAS Hugh (SCO),FOLEY Eddie (IRL),AL MUSAWI Mohamed (OMA)
1998,20-06-1998,1014,Group E,8749,Netherlands,Marseilles ,Stade V�lodrome,Netherlands,NED,2,5,Korea Republic,KOR,0,0,2,5,Home_Team_Win, ,55000,WOJCIK Ryszard (POL),POCIEGIEL Jacek (POL),DUPANOV Yuri (BLR)
1998,21-06-1998,1014,Group F,8753,Germany,Lens ,Stade Felix Bollaert,Germany,GER,0,2,Yugoslavia,YUG,1,2,1,4,DRAW, ,38100,NIELSEN Kim Milton (DEN),ZAMMIT Emanuel (MLT),VAN DEN BROECK Marc (BEL)
1998,21-06-1998,1014,Group H,8752,Argentina,Paris ,Parc des Princes,Argentina,ARG,1,5,Jamaica,JAM,0,0,1,5,Home_Team_Win, ,45500,PEDERSEN Rune (NOR),NILSSON Mikael (SWE),MAZZEI Gennaro (ITA)
1998,21-06-1998,1014,Group F,8754,USA,Lyon ,Stade de Gerland,USA,USA,0,1,Iran,IRN,1,2,1,3,Away_Team_Win, ,39100,MEIER Urs (SUI),RAUSIS Laurent (SUI),GRIGORESCU Nicolae (ROU)
1998,22-06-1998,1014,Group G,8755,Colombia,Montpellier ,La Mosson,Colombia,COL,0,1,Tunisia,TUN,0,0,0,1,Home_Team_Win, ,29800,HEYNEMANN Bernd (GER),SCHNEIDER Erich (GER),AMLER Evzen (CZE)
1998,22-06-1998,1014,Group G,8756,Romania,Toulouse ,Stade Municipal,Romania,ROU,0,2,England,ENG,0,1,0,3,Home_Team_Win, ,33500,BATTA Marc (FRA),POUDEVIGNE Jacques (FRA),SOLDATOS Aristidis Chris (RSA)
1998,23-06-1998,1014,Group B,8757,Italy,Saint-Denis ,Stade de France,Italy,ITA,0,2,Austria,AUT,0,1,0,3,Home_Team_Win, ,80000,DURKIN Paul (ENG),WARREN Mark (ENG),JEON Young Hyun (KOR)
1998,23-06-1998,1014,Group B,8760,Chile,Nantes ,La Beaujoire,Chile,CHI,1,1,Cameroon,CMR,0,1,1,2,DRAW, ,35500,VAGNER Laszlo (HUN),WICKRAMATUNGA Nimal (SRI),ABDUL HAMID Halim (MAS)
1998,23-06-1998,1014,Group A,8758,Scotland,Saint-Etienne ,Stade Geoffroy Guichard,Scotland,SCO,0,0,Morocco,MAR,1,3,1,3,Away_Team_Win, ,30600,BUJSAIM Ali (UAE),TORRES ZUNIGA Luis (CRC),FRED Lencie (VAN)
1998,23-06-1998,1014,Group A,8759,Brazil,Marseilles ,Stade V�lodrome,Brazil,BRA,0,1,Norway,NOR,0,2,0,3,Away_Team_Win, ,55000,BAHARMAST Esse (USA),MAZZEI Gennaro (ITA),DANTE Dramane (MLI)
1998,24-06-1998,1014,Group C,8762,France,Lyon ,Stade de Gerland,France,FRA,1,2,Denmark,DEN,1,1,2,3,Home_Team_Win, ,39100,COLLINA Pierluigi (ITA),VAN DEN BROECK Marc (BEL),ZAMMIT Emanuel (MLT)
1998,24-06-1998,1014,Group C,8764,South Africa,Bordeaux ,Stade du Parc Lescure,South Africa,RSA,1,2,Saudi Arabia,KSA,1,2,2,4,DRAW, ,31800,SANCHEZ YANTEN Mario (CHI),POWELL Owen (JAM),FOLEY Eddie (IRL)
1998,24-06-1998,1014,Group D,8761,Spain,Lens ,Stade Felix Bollaert,Spain,ESP,2,6,Bulgaria,BUL,0,1,2,7,Home_Team_Win, ,38100,VAN DER ENDE Mario (NED),GRIGORESCU Nicolae (ROU),ROSSI Claudio (ARG)
1998,24-06-1998,1014,Group D,8763,Nigeria,Toulouse ,Stade Municipal,Nigeria,NGA,1,1,Paraguay,PAR,1,3,2,4,Away_Team_Win, ,33500,ANPRASERT Pirom (THA),AL MUSAWI Mohamed (OMA),NILSSON Mikael (SWE)
1998,25-06-1998,1014,Group E,8765,Belgium,Paris ,Parc des Princes,Belgium,BEL,1,1,Korea Republic,KOR,0,1,1,2,DRAW, ,45500,REZENDE Marcio (BRA),PINTO Arnaldo (BRA),ARANGO Jorge Luis (COL)
1998,25-06-1998,1014,Group E,8766,Netherlands,Saint-Etienne ,Stade Geoffroy Guichard,Netherlands,NED,2,2,Mexico,MEX,0,2,2,4,DRAW, ,30600,ALZEID Abdulrahman (KSA),TRESACO GRACIA Fernando (ESP),GHADANFARI Hussain (KUW)
1998,25-06-1998,1014,Group F,8767,Germany,Montpellier ,La Mosson,Germany,GER,0,2,Iran,IRN,0,0,0,2,Home_Team_Win, ,29800,GONZALEZ CHAVEZ Epifanio (PAR),GALVAN Celestino (PAR),DIAZ GALVEZ Jorge (CHI)
1998,25-06-1998,1014,Group F,8768,USA,Nantes ,La Beaujoire,USA,USA,0,0,Yugoslavia,YUG,1,1,1,1,Away_Team_Win, ,35500,EL GHANDOUR Gamal (EGY),SALIE Achmat (RSA),WARREN Mark (ENG)
1998,26-06-1998,1014,Group H,8771,Japan,Lyon ,Stade de Gerland,Japan,JPN,0,1,Jamaica,JAM,1,2,1,3,Away_Team_Win, ,39100,BENKO Gunter (AUT),AMLER Evzen (CZE),DANTE Dramane (MLI)
1998,26-06-1998,1014,Group H,8772,Argentina,Bordeaux ,Stade du Parc Lescure,Argentina,ARG,1,1,Croatia,CRO,0,0,1,1,Home_Team_Win, ,31800,BELQOLA Said (MAR),SOLDATOS Aristidis Chris (RSA),MANSRI Mohamed (TUN)
1998,26-06-1998,1014,Group G,8769,Romania,Saint-Denis ,Stade de France,Romania,ROU,0,1,Tunisia,TUN,1,1,1,2,DRAW, ,77000,LENNIE Edward (AUS),POCIEGIEL Jacek (POL),DUPANOV Yuri (BLR)
